X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.66E+03,4.73E+03,1.10E+03,nan,nan,3.80E+00,1.00E+01,1.00E+01,1.41E+04,3.10E+08,-7.00E-01
2.79E+03,4.77E+03,1.17E+03,nan,nan,2.56E+00,9.00E+00,9.00E+00,1.92E+02,3.80E+06,-2.00E+00
2.79E+03,4.74E+03,1.14E+03,nan,nan,2.67E+00,1.00E+01,1.00E+01,3.26E+02,5.48E+06,-1.90E+00
2.79E+03,4.77E+03,1.17E+03,nan,nan,2.53E+00,7.00E+00,7.00E+00,2.92E+02,1.09E+06,-2.60E+00
2.79E+03,4.80E+03,1.25E+03,nan,nan,2.05E+00,7.00E+00,7.00E+00,8.91E+02,5.79E+06,-2.00E+00
2.78E+03,4.71E+03,1.07E+03,nan,nan,2.20E+00,6.00E+00,6.00E+00,8.23E+01,9.28E+05,-2.50E+00
2.72E+03,4.72E+03,1.11E+03,nan,nan,3.78E+00,1.00E+01,8.00E+00,1.67E+03,1.52E+07,-1.70E+00
2.74E+03,4.73E+03,1.14E+03,nan,nan,1.01E+00,8.00E+00,8.00E+00,4.41E+02,2.78E+06,-2.20E+00
2.71E+03,4.71E+03,1.08E+03,nan,nan,1.94E+00,9.00E+00,8.00E+00,3.79E+02,3.23E+06,-2.20E+00
2.77E+03,4.82E+03,1.22E+03,nan,nan,4.19E+00,8.00E+00,8.00E+00,9.63E+03,2.63E+07,-1.70E+00
2.79E+03,4.77E+03,1.17E+03,nan,nan,2.82E+00,6.00E+00,6.00E+00,9.17E+02,2.17E+06,-2.40E+00
2.66E+03,4.74E+03,1.14E+03,nan,nan,4.13E+00,9.00E+00,7.00E+00,5.24E+04,4.36E+08,-8.00E-01
